starting,1step,bestCombi,refinementFromBestCombi,refinementFromBestCombiAllCombi,CheetingStartingValues,afterCheetingOptim1,CheetingStartingValues2,afterCheetingOptim2
 2017.0, 2017.014137    , 2017.014137    , 2017.014786    , 2017.014786    , 2017.014137    , 2017.014013    , 2017.014137    , 2017.013827    
 1977.0, 1976.975376    , 1976.975376    , 1976.975438    , 1976.975438    , 1976.975376    , 1976.975836    , 1976.975376    , 1976.975067    
 1959.0, 1959.101565    , 1959.101565    , 1959.101404    , 1959.101404    , 1959.101565    , 1959.102121    , 1959.101565    , 1959.102330    
 1820.0, 1819.738003    , 1819.738003    , 1819.736277    , 1819.736277    , 1819.738003    , 1819.736726    , 1819.738003    , 1819.736729    
 1526.0, 1526.187320    , 1526.187320    , 1526.189082    , 1526.189082    , 1526.187320    , 1526.189909    , 1526.187320    , 1526.189678    
 1367.0, 1366.973127    , 1366.973127    , 1366.974684    , 1366.974684    , 1366.973127    , 1366.973381    , 1366.973127    , 1366.975267    
    2.0,    1.920688    ,    1.920688    ,    1.918898    ,    1.918898    ,    1.920688    ,    1.916178    ,    1.920688    ,    1.916969    
    7.5,    7.787295    ,    7.787295    ,    7.787105    ,    7.787105    ,    7.787295    ,    7.788197    ,    7.787295    ,    7.788322    
    0.0,    0.606386    ,    0.606386    ,    0.606749    ,    0.606749    ,    0.606386    ,    0.606195    ,    0.606386    ,    0.606049    
    2.0,    1.247449    ,    1.247449    ,    1.248573    ,    1.248573    ,    1.247449    ,    1.244809    ,    1.247449    ,    1.244700    
    0.0,   -0.524731    ,   -0.524731    ,   -0.532935    ,   -0.532935    ,   -0.53,   -0.534528    ,   -0.53,   -0.534687    
    0.0,    0.036317    ,   -0.036317    ,   -0.035311    ,    0.035311    ,    0.04,    0.035318    ,    0.04,    0.038968    
    0.0,   -0.159307    ,    0.159307    ,    0.158381    ,    0.158381    ,    0.159307    ,    0.159349    ,    0.159307    ,    0.158238    
    2.0,    1.418898    ,    1.418898    ,    1.417128    ,    1.417128    ,    1.418898    ,    1.418703    ,    1.418898    ,    1.418410    
    7.5,    7.438388    ,    7.438388    ,    7.438869    ,    7.438869    ,    7.44,    7.439578    ,    7.44,    7.438923    
    0.0,   -0.338905    ,    0.338905    ,    0.348951    ,    0.348951    ,    0.37,    0.369299    ,    0.37,    0.369242    
    0.0,   -0.019208    ,   -0.019208    ,   -0.038207    ,   -0.038207    ,   -0.04,   -0.045328    ,   -0.04,   -0.041618    
    0.0,    0.038035    ,   -0.038035    ,    0.014385    ,    0.014385    ,    0.02,   -0.039057    ,    0.02,    0.016890    
    0.0,   -0.156056    ,    0.156056    ,    0.153164    ,    0.153164    ,   -0.23,   -0.228094    ,   -0.23,   -0.227909    
    0.0,   -0.228198    ,   -0.228198    ,    0.234550    ,    0.234550    ,    0.23,    0.234951    ,    0.23,    0.234891    
    0.0,   -0.297087    ,    0.297087    ,    0.291110    ,    0.291110    ,    0.297087    ,    0.297001    ,    0.297087    ,    0.290480    
   17.0,   17.600395    ,   17.600395    ,   17.600433    ,   17.600433    ,   17.600395    ,   17.600115    ,   17.600395    ,   17.600060    
   11.0,   10.895423    ,   10.895423    ,   10.895411    ,   10.895411    ,   10.895423    ,   10.895419    ,   10.895423    ,   10.895332    
    1.0,    1.038136    ,    1.038136    ,    1.038166    ,    1.038166    ,    1.038136    ,    1.038010    ,    1.038136    ,    1.038172    
    0.05,    0.055772    ,    0.055772    ,    0.053457    ,    0.053457    ,    0.055772    ,    0.052870    ,    0.055772    ,    0.048474    
    1.0e6,1.629675e+08    ,1.629675e+08    ,1.616600e+08    ,1.616600e+08    ,1.629675e+08    ,1.719500e+08    ,1.629675e+08    ,1.660311e+08    
100,13.67,13.50,12.22,11.52,100,8.96 ,100,5.85 
